raceid;circuitid;circuitname;raceyear;racedate;racetime;roundnumber;raceurl;constructorid;constructorname;driverid;drivercode;q1;q2;q3;qualifyingposition;startinggrid;finishpositionorder;finishpositiontext;status;milliseconds;points;fastestlap;fastestlaptime;fastestlapspeed;drivertotalpoints;driverrank;driverwins;constructortotalpoints;constructorrank;constructorwins
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;22;Benetton;30;MSC;1:16.290;NA;NA;2;2;1;1;Finished;5739200.0;10.0;NA;NA;NA;10.0;1;1.0;10.0;1;1.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;3;Williams;71;NA;1:17.554;NA;NA;4;4;2;2;+1 Lap;NA;6.0;NA;NA;NA;6.0;2;0.0;6.0;2;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;6;Ferrari;55;NA;1:17.385;NA;NA;3;3;3;3;+1 Lap;NA;4.0;NA;NA;NA;4.0;3;0.0;4.0;3;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;17;Jordan;22;BAR;1:18.414;NA;NA;14;14;4;4;+1 Lap;NA;3.0;NA;NA;NA;3.0;4;0.0;3.0;4;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;25;Tyrrell;79;NA;1:18.194;NA;NA;10;10;5;5;+2 Laps;NA;2.0;NA;NA;NA;2.0;5;0.0;2.0;5;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;15;Sauber;91;NA;1:17.927;NA;NA;7;7;6;6;+2 Laps;NA;1.0;NA;NA;NA;1.0;6;0.0;1.0;6;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;32;Team Lotus;65;NA;1:19.483;NA;NA;21;21;7;7;+2 Laps;NA;0.0;NA;NA;NA;0.0;7;0.0;0.0;7;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;18;Minardi;94;NA;1:18.659;NA;NA;15;15;8;8;+2 Laps;NA;0.0;NA;NA;NA;0.0;8;0.0;0.0;8;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;33;Larrousse;100;NA;1:18.321;NA;NA;13;13;9;9;+3 Laps;NA;0.0;NA;NA;NA;0.0;9;0.0;0.0;9;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;32;Team Lotus;83;NA;1:19.975;NA;NA;24;24;10;10;+3 Laps;NA;0.0;NA;NA;NA;0.0;10;0.0;0.0;7;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;27;Ligier;44;NA;1:19.304;NA;NA;19;19;11;11;+3 Laps;NA;0.0;NA;NA;NA;0.0;11;0.0;0.0;10;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;31;Simtek;101;NA;1:21.186;NA;NA;26;26;12;12;+4 Laps;NA;0.0;NA;NA;NA;0.0;12;0.0;0.0;11;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;3;Williams;102;NA;1:15.962;NA;NA;1;1;13;R;Spun off;NA;0.0;NA;NA;NA;0.0;13;0.0;6.0;2;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;1;McLaren;84;NA;1:18.864;NA;NA;18;18;14;R;Collision;NA;0.0;NA;NA;NA;0.0;14;0.0;0.0;12;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;17;Jordan;56;NA;1:18.751;NA;NA;16;16;15;R;Collision;NA;0.0;NA;NA;NA;0.0;15;0.0;3.0;4;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;22;Benetton;50;NA;1:18.183;NA;NA;9;9;16;R;Collision;NA;0.0;NA;NA;NA;0.0;16;0.0;10.0;1;1.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;27;Ligier;103;NA;1:19.398;NA;NA;20;20;17;R;Collision;NA;0.0;NA;NA;NA;0.0;17;0.0;0.0;10;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;25;Tyrrell;87;NA;1:18.246;NA;NA;12;12;18;R;Spun off;NA;0.0;NA;NA;NA;0.0;18;0.0;2.0;5;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;29;Footwork;104;NA;1:18.204;NA;NA;11;11;19;R;Gearbox;NA;0.0;NA;NA;NA;0.0;19;0.0;0.0;13;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;15;Sauber;49;NA;1:17.806;NA;NA;5;5;20;R;Spun off;NA;0.0;NA;NA;NA;0.0;20;0.0;1.0;6;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;1;McLaren;57;NA;1:18.122;NA;NA;8;8;21;R;Engine;NA;0.0;NA;NA;NA;0.0;21;0.0;0.0;12;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;18;Minardi;105;NA;1:19.517;NA;NA;22;22;22;R;Engine;NA;0.0;NA;NA;NA;0.0;22;0.0;0.0;8;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;29;Footwork;81;NA;1:17.866;NA;NA;6;6;23;R;Gearbox;NA;0.0;NA;NA;NA;0.0;23;0.0;0.0;13;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;6;Ferrari;77;NA;1:18.855;NA;NA;17;17;24;R;Engine;NA;0.0;NA;NA;NA;0.0;24;0.0;4.0;3;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;33;Larrousse;106;NA;1:19.524;NA;NA;23;23;25;R;Accident;NA;0.0;NA;NA;NA;0.0;25;0.0;0.0;9;0.0
257;18;Autódromo José Carlos Pace;1994;1994-03-27;NA;1;http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix;30;Pacific;92;NA;1:20.729;NA;NA;25;25;26;R;Accident;NA;0.0;NA;NA;NA;0.0;26;0.0;0.0;14;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;22;Benetton;30;MSC;1:10.440;NA;NA;2;2;1;1;Finished;6361693.0;10.0;NA;NA;NA;20.0;1;2.0;20.0;1;2.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;6;Ferrari;77;NA;1:11.744;NA;NA;5;5;2;2;Finished;6436993.0;6.0;NA;NA;NA;6.0;4;0.0;10.0;2;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;17;Jordan;22;BAR;1:12.409;NA;NA;8;8;3;3;+1 Lap;NA;4.0;NA;NA;NA;7.0;2;0.0;7.0;3;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;29;Footwork;104;NA;1:12.444;NA;NA;9;9;4;4;+1 Lap;NA;3.0;NA;NA;NA;3.0;6;0.0;3.0;5;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;15;Sauber;49;NA;1:12.686;NA;NA;11;11;5;5;+1 Lap;NA;2.0;NA;NA;NA;2.0;7;0.0;3.0;6;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;33;Larrousse;100;NA;1:13.111;NA;NA;16;16;6;6;+3 Laps;NA;1.0;NA;NA;NA;1.0;9;0.0;1.0;8;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;32;Team Lotus;65;NA;1:14.424;NA;NA;23;23;7;7;+3 Laps;NA;0.0;NA;NA;NA;0.0;11;0.0;0.0;9;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;32;Team Lotus;83;NA;1:14.657;NA;NA;24;24;8;8;+4 Laps;NA;0.0;NA;NA;NA;0.0;12;0.0;0.0;9;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;27;Ligier;44;NA;1:14.106;NA;NA;22;22;9;9;+5 Laps;NA;0.0;NA;NA;NA;0.0;14;0.0;0.0;11;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;27;Ligier;103;NA;1:13.613;NA;NA;18;18;10;10;+5 Laps;NA;0.0;NA;NA;NA;0.0;15;0.0;0.0;11;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;31;Simtek;107;NA;1:16.536;NA;NA;26;26;11;11;+5 Laps;NA;0.0;NA;NA;NA;0.0;16;0.0;0.0;12;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;29;Footwork;81;NA;1:12.866;NA;NA;13;13;12;R;Engine;NA;0.0;NA;NA;NA;0.0;18;0.0;3.0;5;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;15;Sauber;91;NA;1:13.855;NA;NA;19;19;13;R;Collision;NA;0.0;NA;NA;NA;1.0;10;0.0;3.0;6;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;18;Minardi;105;NA;1:13.016;NA;NA;15;15;14;R;Collision;NA;0.0;NA;NA;NA;0.0;21;0.0;0.0;10;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;1;McLaren;84;NA;1:12.351;NA;NA;6;6;15;R;Overheating;NA;0.0;NA;NA;NA;0.0;20;0.0;0.0;13;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;18;Minardi;94;NA;1:13.529;NA;NA;17;17;16;R;Spun off;NA;0.0;NA;NA;NA;0.0;13;0.0;0.0;10;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;22;Benetton;50;NA;1:12.554;NA;NA;10;10;17;R;Spun off;NA;0.0;NA;NA;NA;0.0;23;0.0;20.0;1;2.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;3;Williams;71;NA;1:10.771;NA;NA;3;3;18;R;Transmission;NA;0.0;NA;NA;NA;6.0;3;0.0;6.0;4;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;17;Jordan;88;NA;1:13.932;NA;NA;20;20;19;R;Steering;NA;0.0;NA;NA;NA;0.0;25;0.0;7.0;3;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;25;Tyrrell;79;NA;1:13.013;NA;NA;14;14;20;R;Engine;NA;0.0;NA;NA;NA;2.0;8;0.0;2.0;7;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;1;McLaren;57;NA;1:11.683;NA;NA;4;4;21;R;Gearbox;NA;0.0;NA;NA;NA;0.0;26;0.0;0.0;13;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;33;Larrousse;106;NA;1:14.101;NA;NA;21;21;22;R;Electrical;NA;0.0;NA;NA;NA;0.0;27;0.0;1.0;8;0.0
258;28;Okayama International Circuit;1994;1994-04-17;NA;2;http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix;31;Simtek;101;NA;1:14.748;NA;NA;25;25;23;R;Electrical;NA;0.0;NA;NA;NA;0.0;17;0.0;0.0;12;0.0
